"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       ,       "CMz"      
         157,      -5.915448704,      -4.431996228,      -4.637800655,      -6.868560422,      -2.789074612,       44.09781075,       44.09781075,      0.1891463449,       1.016842398,       1.118213843
         158,       -5.90342143,      -4.425641677,      -4.631181295,      -6.861872319,      -2.782099613,        52.9173729,        52.9173729,      0.1884940664,       1.012862325,       1.113695799
         159,      -5.860876159,      -4.417465178,      -4.623480168,      -6.856289507,      -2.778176361,       63.50084748,       63.50084748,      0.1877638307,       1.008201261,       1.108401432
         160,      -5.825351132,      -4.407906847,      -4.615894277,      -6.850946875,      -2.772419097,       76.20101697,       76.20101697,      0.1870503074,       1.002980528,       1.102590902
         161,      -5.791888065,      -4.396809723,      -4.606621223,      -6.844981813,      -2.754224117,       7.620101697,       7.620101697,      0.1864583008,      0.9973122727,       1.096533663
         162,      -5.742775043,      -4.384184341,      -4.596567688,      -6.893329194,      -2.850015088,       9.144122036,       9.144122036,      0.1864025762,      0.9967567524,       1.095946032
         163,      -5.836629973,      -4.387012679,      -4.600356617,      -6.890562011,      -2.834549229,       10.97294644,       10.97294644,      0.1863394029,      0.9960956321,        1.09524898
         164,      -5.910181202,      -4.387092497,       -4.60273342,      -6.887112402,      -2.819628028,       13.16753573,       13.16753573,      0.1862688589,      0.9953109953,       1.094425669
         165,      -5.949719674,      -4.385648043,      -4.603559164,      -6.883235198,      -2.811120264,       15.80104288,       15.80104288,      0.1861919152,      0.9943844574,       1.093460741
         166,      -5.956575562,      -4.383175747,      -4.601985827,      -6.878881885,      -2.809462202,       18.96125145,       18.96125145,      0.1861105031,      0.9932956142,       1.092337972
         167,      -5.943259701,      -4.379664325,      -4.599030857,      -6.873798471,      -2.808512017,       22.75350175,       22.75350175,      0.1860280981,      0.9920211968,       1.091039256
         168,      -5.922302378,      -4.375110349,      -4.595186442,       -6.86775809,      -2.802497836,       27.30420209,       27.30420209,      0.1859501739,      0.9905345524,       1.089543989
