"Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "Min CFL"    ,     "Max CFL"    ,       "CD"       ,       "CL"       
         211,      -5.121959873,      -4.424623095,      -4.526971658,       31.90283199,       31.90283199,      0.2250781536,       1.313775353
         212,      -5.123066137,      -4.427424697,      -4.534058038,       38.28339839,       38.28339839,      0.2300475492,       1.325536709
         213,      -5.126298598,      -4.431146169,      -4.543011313,       3.828339839,       3.828339839,      0.2360099625,       1.340404743
         214,      -5.132842055,      -4.436175553,       -4.55421412,       4.594007807,       4.594007807,      0.2366072125,       1.341902089
         215,      -5.134321858,      -4.436532663,      -4.555212735,       5.512809369,       5.512809369,      0.2373235053,       1.343709322
         216,      -5.135414134,      -4.436919541,      -4.556323389,       6.615371242,       6.615371242,      0.2381819503,       1.345892064
         217,      -5.136485528,      -4.437375808,      -4.557606144,       7.938445491,       7.938445491,      0.2392096517,       1.348530195
         218,      -5.137724326,      -4.437930069,      -4.559120179,       9.526134589,       9.526134589,      0.2404380098,       1.351720845
         219,      -5.139272195,        -4.4386172,      -4.560929447,       11.43136151,       11.43136151,      0.2419027299,        1.35558185
         220,      -5.141274605,      -4.439480403,      -4.563103536,       13.71763381,       13.71763381,      0.2436433346,       1.360255864
         221,      -5.143905635,      -4.440575342,      -4.565717826,       16.46116057,       16.46116057,      0.2457017149,       1.365914924
         222,      -5.147389241,      -4.441976482,      -4.568851544,       19.75339268,       19.75339268,       0.248118784,       1.372764398
         223,      -5.152024538,      -4.443785479,      -4.572581673,       23.70407122,       23.70407122,      0.2509275313,       1.381043793
         224,      -5.158211207,        -4.4461397,      -4.576969979,       28.44488546,       28.44488546,      0.2541401284,       1.391020967
         225,      -5.166478718,       -4.44922401,      -4.582040226,       34.13386256,       34.13386256,       0.257728793,       1.402980165
         226,      -5.177502603,       -4.45327675,      -4.587737556,       40.96063507,       40.96063507,      0.2616009055,       1.417197821
         227,      -5.192107634,      -4.458599341,      -4.593872501,       49.15276208,       49.15276208,      0.2655723086,       1.433898074
         228,      -5.211200874,      -4.465548389,      -4.600058439,       4.915276208,       4.915276208,      0.2693480742,       1.453185401
         229,      -5.235537853,      -4.474480444,       -4.60569606,        5.89833145,        5.89833145,      0.2697163837,       1.455109407
         230,       -5.23879838,      -4.475039194,      -4.605778965,        7.07799774,        7.07799774,      0.2701440046,       1.457407038
         231,      -5.241715508,       -4.47567119,      -4.605778018,       8.493597288,       8.493597288,      0.2706365845,       1.460147656
         232,      -5.244902162,      -4.476430714,      -4.605714475,       10.19231675,       10.19231675,      0.2711982078,       1.463411895
         233,      -5.248606644,      -4.477350178,      -4.605588867,       12.23078009,       12.23078009,      0.2718300125,       1.467292845
         234,      -5.252983907,      -4.478466613,      -4.605390014,       14.67693611,       14.67693611,      0.2725282815,       1.471897467
         235,      -5.258161036,      -4.479823455,       -4.60509251,       17.61232334,       17.61232334,      0.2732817447,       1.477347446
         236,      -5.264248136,       -4.48147187,      -4.604654827,         21.134788,         21.134788,      0.2740674237,       1.483776952
         237,      -5.271328307,      -4.483469137,      -4.604019597,        25.3617456,        25.3617456,      0.2748443342,       1.491322888
         238,       -5.27942402,      -4.485872847,      -4.603121521,       30.43409472,       30.43409472,      0.2755464296,       1.500106011
         239,      -5.288458132,      -4.488724421,       -4.60190247,       36.52091367,       36.52091367,      0.2760790975,        1.51020232
         240,       -5.29815382,      -4.492038407,      -4.600363388,        43.8250964,        43.8250964,      0.2763249552,       1.521607521
