"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,         325,      -6.970027728,      -5.531983492,      -6.002998833
          0,           0,         326,      -6.972880986,      -5.533088756,      -6.005509793
          0,           0,         327,      -6.975272634,      -5.534395323,      -6.008039879
          0,           0,         328,        -6.9777959,      -5.535963015,      -6.010627192
          0,           0,         329,      -6.980698778,      -5.537862216,      -6.013357959
          0,           0,         330,      -6.983935358,      -5.540181579,       -6.01624216
          0,           0,         331,      -6.987137646,      -5.543028806,       -6.01917595
          0,           0,         332,      -6.989679862,      -5.546527549,      -6.021935195
          0,           0,         333,      -6.991128569,       -5.55081279,      -6.024119692
          0,           0,         334,      -6.991883416,      -5.556037805,      -6.025148886
          0,           0,         335,      -6.992606487,       -5.56241053,      -6.024506238
          0,           0,         336,       -6.99272885,      -5.570223818,      -6.021952988
          0,           0,         337,      -7.006985544,      -5.571160781,      -6.022749984
          0,           0,         338,      -7.012080107,      -5.572176968,      -6.023040098
          0,           0,         339,      -7.015644898,      -5.573358532,      -6.023113595
          0,           0,         340,      -7.018820221,      -5.574754519,      -6.022922448
          0,           0,         341,      -7.021903629,      -5.576414714,      -6.022458952
          0,           0,         342,      -7.024988953,      -5.578399191,       -6.02173902
          0,           0,         343,      -7.027992006,      -5.580786763,      -6.020740437
          0,           0,         344,      -7.030594975,      -5.583679868,      -6.019392215
          0,           0,         345,      -7.032220385,      -5.587196382,      -6.017590683
          0,           0,         346,      -7.032242763,       -5.59146281,      -6.015184012
          0,           0,         347,      -7.030689513,      -5.596605019,      -6.011937418
          0,           0,         348,      -7.028419805,      -5.602758498,      -6.007632119
          0,           0,         349,       -7.02575911,      -5.610105702,      -6.002284795
          0,           0,         350,      -7.021364101,      -5.618867903,       -5.99614173
          0,           0,         351,      -7.035324728,      -5.619989643,      -5.996814822
          0,           0,         352,      -7.041200223,      -5.621152171,      -5.996759808
          0,           0,         353,      -7.045684311,      -5.622487684,      -5.996409469
          0,           0,         354,      -7.049583478,      -5.624045216,      -5.995801907
          0,           0,         355,      -7.052984497,      -5.625869378,      -5.994953906
          0,           0,         356,      -7.055818959,      -5.628017455,      -5.993867233
          0,           0,         357,      -7.057877444,      -5.630569139,      -5.992519612
          0,           0,         358,      -7.058750414,      -5.633623857,      -5.990887457
          0,           0,         359,      -7.057803781,      -5.637287606,      -5.988958431
          0,           0,         360,      -7.054585072,      -5.641655563,      -5.986696973
          0,           0,         361,       -7.04957983,      -5.646799365,      -5.984015209
          0,           0,         362,      -7.043716323,      -5.652785693,      -5.980875984
          0,           0,         363,      -7.036638008,      -5.659688857,        -5.9774209
          0,           0,         364,      -7.045623327,      -5.660622845,      -5.978066718
          0,           0,         365,      -7.049767306,      -5.661560962,      -5.978187246
          0,           0,         366,      -7.053141459,      -5.662622877,      -5.978098224
          0,           0,         367,      -7.056168287,      -5.663845035,       -5.97785153
          0,           0,         368,      -7.058793024,      -5.665253572,      -5.977470649
          0,           0,         369,      -7.060869861,      -5.666881008,      -5.976968274
          0,           0,         370,      -7.062177614,      -5.668777151,       -5.97634311
          0,           0,         371,      -7.062376721,      -5.671011948,      -5.975594742
          0,           0,         372,      -7.060936838,      -5.673662074,      -5.974737234
          0,           0,         373,      -7.057241779,      -5.676793104,      -5.973782797
          0,           0,         374,      -7.051194699,      -5.680432453,      -5.972695474
          0,           0,         375,      -7.043539882,      -5.684564978,      -5.971400437
          0,           0,         376,      -7.034820327,       -5.68916601,      -5.969897981
          0,           0,         377,      -7.024193399,      -5.694199609,      -5.968313917
          0,           0,         378,       -7.03324634,      -5.695053254,      -5.969326315
          0,           0,         379,      -7.037230272,      -5.695803981,      -5.969731445
          0,           0,         380,      -7.040480477,      -5.696608249,      -5.969924032
          0,           0,         381,      -7.043323791,      -5.697493272,       -5.96998689
          0,           0,         382,       -7.04562977,      -5.698469602,      -5.969959758
          0,           0,         383,      -7.047191795,      -5.699554705,      -5.969863568
          0,           0,         384,      -7.047747579,      -5.700783016,      -5.969708667
          0,           0,         385,        -7.0469358,      -5.702202484,      -5.969515081
          0,           0,         386,      -7.044230216,      -5.703858283,      -5.969320885
          0,           0,         387,      -7.039167666,      -5.705768809,      -5.969150071
          0,           0,         388,      -7.031959597,      -5.707899424,       -5.96896135
          0,           0,         389,      -7.023393994,      -5.710175006,      -5.968669641
          0,           0,         390,      -7.013579905,      -5.712522581,      -5.968243298
          0,           0,         391,      -7.019847388,      -5.713080226,      -5.969158179
          0,           0,         392,      -7.022484184,      -5.713511946,      -5.969617707
          0,           0,         393,      -7.024693438,      -5.713941465,      -5.969904672
          0,           0,         394,      -7.026752618,      -5.714384863,      -5.970082133
          0,           0,         395,      -7.028558081,      -5.714841214,      -5.970183217
          0,           0,         396,      -7.029933603,      -5.715309593,      -5.970231448
          0,           0,         397,      -7.030652337,      -5.715801522,      -5.970241909
          0,           0,         398,       -7.03042083,       -5.71634423,      -5.970232979
          0,           0,         399,      -7.028814761,      -5.716970809,      -5.970237157
          0,           0,         400,       -7.02529016,      -5.717698796,      -5.970287668
